subject,description,integration,objective,quality,refactoring,testing,categoryCount,subjDescription
wip  better connection test,assign configure fake connections test class dynamically generalize event queue handle test pass upstream root fake gerrit explicitly dont pass fake gerrit fakeurlopener changeid icbedbbcbaafadfcc,0,1,0,0,1,2,wip  better connection test assign configure fake connections test class dynamically generalize event queue handle test pass upstream root fake gerrit explicitly dont pass fake gerrit fakeurlopener changeid icbedbbcbaafadfcc
  ansible standardcontainer,patchset move role task main yaml file use conditional variable determine task play playbook call reduce number file readability changeid iadfdcaeaacaefeca,0,1,1,0,0,2,  ansible standardcontainer patchset move role task main yaml file use conditional variable determine task play playbook call reduce number file readability changeid iadfdcaeaacaefeca
switch testtools remove pep warn unit test dbaas py cover create user enable root ing,bug blueprint changeid iffcdbcfbeecdeacebdb,1,1,0,0,1,3,switch testtools remove pep warn unit test dbaas py cover create user enable root ing bug blueprint changeid iffcdbcfbeecdeacebdb
minor  wsgi py,minor  code file suggest termie henry review comment fix bug changeid icddfdfdbabadcc cherry pick commit fdcfacadfcdbcfcdec,0,1,0,1,0,2,minor  wsgi py minor  code file suggest termie henry review comment fix bug changeid icddfdfdbabadcc cherry pick commit fdcfacadfcdbcfcdec
minor  wsgi py,minor  wsgi py minor  code file suggest termie henry review comment fix bug changeid icddfdfdbabadcc,0,1,0,1,0,2,minor  wsgi py minor  wsgi py minor  code file suggest termie henry review comment fix bug changeid icddfdfdbabadcc
api call error handle ing,change s api service use fetch instead when reqwest combination improve error handle api request make action api call lighter changeid iadbbecabdccafeeebe,1,1,0,0,0,2,api call error handle ing change s api service use fetch instead when reqwest combination improve error handle api request make action api call lighter changeid iadbbecabdccafeeebe
api jsonschema validation ing,request response schemas map add validate schema decorator implement validate schema add content json decorator test api schema validation add common json type node add node nodecollection shcemas add schema validation add base handlers get post put delete methods node nailgun object use jsonschema prototcol changeid iaeaeacafdffbfcaafcffa,1,1,0,0,0,2,api jsonschema validation ing request response schemas map add validate schema decorator implement validate schema add content json decorator test api schema validation add common json type node add node nodecollection shcemas add schema validation add base handlers get post put delete methods node nailgun object use jsonschema prototcol changeid iaeaeacafdffbfcaafcffa
api level ing,changeid icfedcfafabbbadff,1,0,0,0,0,1,api level ing changeid icfedcfafabbbadff
api test ing create project,call create project api test patch prepare create project method test use changeid iacdcabedcffbebb,0,1,0,0,1,2,api test ing create project call create project api test patch prepare create project method test use changeid iacdcabedcffbebb
api db object ing,change incorporate object abstraction db object ironic nova openstack project ing new module cue object create module provide generalize access db object patch api update access db object cue object module update affect test changeid iafeeceaaedbdd,1,1,0,0,0,2,api db object ing change incorporate object abstraction db object ironic nova openstack project ing new module cue object create module provide generalize access db object patch api update access db object cue object module update affect test changeid iafeeceaaedbdd
add softway irc channel eavesdrop o o,wed like advantage irc log manage openstackinfra softway project package openstackinfra tool changeid ibdebffadfebccd signedoffby paul belanger pabelanger redhat com,1,1,0,0,0,2,add softway irc channel eavesdrop o o wed like advantage irc log manage openstackinfra softway project package openstackinfra tool changeid ibdebffadfebccd signedoffby paul belanger pabelanger redhat com
add stein reno keystone v usages test ing,changeid iadbfaeeeabeaaff,0,1,0,0,1,2,add stein reno keystone v usages test ing changeid iadbfaeeeabeaaff
add scenario test  api test,add tempest scenario testcase taas  exist api test add new api testcase test newly add vlan mirror input parameter tapflowcreate api patchset extension follow commit add sriov driver support taas changeid idfddcaceee commit,1,1,0,0,1,3,add scenario test  api test add tempest scenario testcase taas  exist api test add new api testcase test newly add vlan mirror input parameter tapflowcreate api patchset extension follow commit add sriov driver support taas changeid idfddcaceee commit
add  cluster cmd unit test,patch add miss cmd unit test cluster module s current ones well slightly improve test coverage changeid icedaedabdfeafaccabdc signedoffby ruslan aliev raliev mirantis com,0,1,0,0,1,2,add  cluster cmd unit test patch add miss cmd unit test cluster module s current ones well slightly improve test coverage changeid icedaedabdfeafaccabdc signedoffby ruslan aliev raliev mirantis com
